one_answer_id,source_question_id,source_choice_no,exam_type,license_type,section_no,section_name,topic,question_text,answer,explanation,source_exam_id,source_question_file,conversion_type,quality_status,conversion_note
oa_past_500_001,h20_2_freight_q001,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,貨物自動車運送事業法,一般貨物自動車運送事業の許可を受けようとする者は、国土交通大臣に提出しなければならない申請書に事業用自動車の運行管理の体制その他の国土交通省令で定める事項を記載した書類を添付しなければならない。,○,許可申請書に運行管理体制等を記載した書類を添付することは正しい。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_002,h20_2_freight_q001,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,貨物自動車運送事業法,一般貨物自動車運送事業者は、運賃及び料金を定め又は変更するときは、あらかじめ所定の事項を記載した運賃料金設定 ( 変更 ) 届出書を所轄地方運輸局長に提出しなければならない。,×,運賃及び料金は、定め又は変更した後に届け出る制度であり、「あらかじめ」提出するとする点が誤りである。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_003,h20_2_freight_q001,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,貨物自動車運送事業法,一般貨物自動車運送事業者は、事業用自動車に関する国土交通省令で定める事業計画の変更をするときは、あらかじめその旨を、国土交通省令で定める軽微な事項に関する事業計画の変更をしたときは、遅滞なくその旨を、国土交通大臣に届け出なければならない。,○,事業計画の変更は、原則あらかじめ届出、軽微な事項は遅滞なく届出でよい。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_004,h20_2_freight_q002,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事業計画に従い業務を行うに必要な員数の事業用自動車の運転者を常時選任しておくことは、運行管理者の業務である。,×,必要な運転者を常時選任しておくことは事業者の義務であり、運行管理者の業務ではない。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_005,h20_2_freight_q001,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,貨物自動車運送事業法,国土交通大臣は、一般貨物自動車運送事業の適正かつ合理的な運営を確保するため必要があると認めるときは、一般貨物自動車運送事業者に対し、貨物の運送に関し生じた損害を賠償するために必要な金額を担保することができる保険契約を締結することを命ずることができる。,○,必要な損害賠償能力を担保する保険契約の締結命令に関する記述として正しい。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_006,h20_2_freight_q002,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,一般貨物自動車運送事業者に対し、事業用自動車の運行の安全の確保に関して緊急を要する事項に限り、遅滞なく、助言を行うことは、運行管理者の業務である。,×,運行管理者の助言は緊急事項に限られず、必要な助言を行う。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_007,h20_2_freight_q002,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事業用自動車に備えられた非常信号用具及び消火器の取扱いについて、当該事業用自動車の乗務員に対する適切な指導を行うことは、運行管理者の業務である。,○,非常信号用具及び消火器の取扱いについて乗務員を指導することは、運行管理者の業務である。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_008,h20_2_freight_q002,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事業用自動車に係る事故が発生した場合には、事故の発生日時等所定の事項を記録し、その記録を当該事業用自動車の運行を管理する営業所において１年間保存することは、運行管理者の業務である。,×,事故記録の保存期間は１年ではなく３年である。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_009,h20_2_freight_q004,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,点呼・酒気帯び確認,乗務後の点呼は、対面（運行上やむを得ない場合は電話その他の方法）により行い、当該乗務に係る事業用自動車、道路及び運行の状況並びに他の運転者と交替した場合にあっては、交替した運転者に対して行った当該乗務に係る通告について報告を求めなければならない。,○,乗務後点呼では、事業用自動車、道路及び運行の状況、交替運転者への通告について報告を求める。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_010,h20_2_freight_q004,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,点呼・酒気帯び確認,乗務前の点呼は、対面（運行上やむを得ない場合は電話その他の方法）により行い、疾病、疲労、飲酒その他の理由により安全な運転をすることができないおそれの有無及び道路運送車両法の規定による日常点検整備又は定期点検整備の実施について報告を求め、事業用自動車の運行の安全を確保するために必要な指示をしなければならない。,×,乗務前点呼で確認するのは日常点検の実施又は確認であり、定期点検整備ではない。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
