hub_a,hub_b,kind,similarity,slug_a,slug_b,title_a,title_b
comparisons.csv,comparisons.csv,similar,0.889,s31-kon-unkan-kanri-cmp,s34-kon-unkan-kanri-cmp,運行管理者制度の比較整理（論点整理）,運行管理者制度の比較整理（頻出整理）
comparisons.csv,comparisons.csv,similar,0.889,s31-kon-unkan-kanri-cmp,s35-kon-unkan-kanri-cmp,運行管理者制度の比較整理（論点整理）,運行管理者制度の比較整理（基礎整理）
comparisons.csv,comparisons.csv,similar,0.889,s31-kon-unkan-kanri-cmp,s40-kon-unkan-kanri-cmp,運行管理者制度の比較整理（論点整理）,運行管理者制度の比較整理（深化整理）
comparisons.csv,numbers.csv,similar,0.889,s31-kon-unkan-kanri-cmp,s31-kon-unkan-kanri-num,運行管理者制度の比較整理（論点整理）,運行管理者制度の数値整理（論点整理）
comparisons.csv,comparisons.csv,similar,0.882,s31-kon-shuki-unten-cmp,s34-kon-shuki-unten-cmp,酒気帯び運転の比較整理（論点整理）,酒気帯び運転の比較整理（頻出整理）
comparisons.csv,comparisons.csv,similar,0.882,s31-kon-shuki-unten-cmp,s35-kon-shuki-unten-cmp,酒気帯び運転の比較整理（論点整理）,酒気帯び運転の比較整理（基礎整理）
comparisons.csv,comparisons.csv,similar,0.882,s31-kon-shuki-unten-cmp,s40-kon-shuki-unten-cmp,酒気帯び運転の比較整理（論点整理）,酒気帯び運転の比較整理（深化整理）
comparisons.csv,numbers.csv,similar,0.882,s31-kon-shuki-unten-cmp,s31-kon-shuki-unten-num,酒気帯び運転の比較整理（論点整理）,酒気帯び運転の数値整理（論点整理）
comparisons.csv,comparisons.csv,similar,0.900,s31-kon-ippan-tokutei-cmp,s34-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（論点整理）,一般貨物と特定貨物の比較整理（頻出整理）
comparisons.csv,comparisons.csv,similar,0.900,s31-kon-ippan-tokutei-cmp,s35-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（論点整理）,一般貨物と特定貨物の比較整理（基礎整理）
comparisons.csv,comparisons.csv,similar,0.900,s31-kon-ippan-tokutei-cmp,s40-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（論点整理）,一般貨物と特定貨物の比較整理（深化整理）
comparisons.csv,numbers.csv,similar,0.900,s31-kon-ippan-tokutei-cmp,s31-kon-ippan-tokutei-num,一般貨物と特定貨物の比較整理（論点整理）,一般貨物と特定貨物の数値整理（論点整理）
comparisons.csv,comparisons.csv,similar,0.889,s32-kon-unkan-kanri-cmp,s33-kon-unkan-kanri-cmp,運行管理者制度の比較整理（手続確認）,運行管理者制度の比較整理（数値確認）
comparisons.csv,numbers.csv,similar,0.889,s32-kon-unkan-kanri-cmp,s32-kon-unkan-kanri-num,運行管理者制度の比較整理（手続確認）,運行管理者制度の数値整理（手続確認）
comparisons.csv,comparisons.csv,similar,0.882,s32-kon-shuki-unten-cmp,s33-kon-shuki-unten-cmp,酒気帯び運転の比較整理（手続確認）,酒気帯び運転の比較整理（数値確認）
comparisons.csv,numbers.csv,similar,0.882,s32-kon-shuki-unten-cmp,s32-kon-shuki-unten-num,酒気帯び運転の比較整理（手続確認）,酒気帯び運転の数値整理（手続確認）
comparisons.csv,comparisons.csv,similar,0.900,s32-kon-ippan-tokutei-cmp,s33-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（手続確認）,一般貨物と特定貨物の比較整理（数値確認）
comparisons.csv,numbers.csv,similar,0.900,s32-kon-ippan-tokutei-cmp,s32-kon-ippan-tokutei-num,一般貨物と特定貨物の比較整理（手続確認）,一般貨物と特定貨物の数値整理（手続確認）
comparisons.csv,numbers.csv,similar,0.889,s33-kon-unkan-kanri-cmp,s33-kon-unkan-kanri-num,運行管理者制度の比較整理（数値確認）,運行管理者制度の数値整理（数値確認）
comparisons.csv,numbers.csv,similar,0.882,s33-kon-shuki-unten-cmp,s33-kon-shuki-unten-num,酒気帯び運転の比較整理（数値確認）,酒気帯び運転の数値整理（数値確認）
comparisons.csv,numbers.csv,similar,0.900,s33-kon-ippan-tokutei-cmp,s33-kon-ippan-tokutei-num,一般貨物と特定貨物の比較整理（数値確認）,一般貨物と特定貨物の数値整理（数値確認）
comparisons.csv,comparisons.csv,similar,0.889,s34-kon-unkan-kanri-cmp,s35-kon-unkan-kanri-cmp,運行管理者制度の比較整理（頻出整理）,運行管理者制度の比較整理（基礎整理）
comparisons.csv,comparisons.csv,similar,0.889,s34-kon-unkan-kanri-cmp,s37-kon-unkan-kanri-cmp,運行管理者制度の比較整理（頻出整理）,運行管理者制度の比較整理（試験頻出）
comparisons.csv,comparisons.csv,similar,0.889,s34-kon-unkan-kanri-cmp,s40-kon-unkan-kanri-cmp,運行管理者制度の比較整理（頻出整理）,運行管理者制度の比較整理（深化整理）
comparisons.csv,comparisons.csv,similar,0.973,s34-kon-unkan-kanri-cmp,s42-kon-unkan-kanri-cmp,運行管理者制度の比較整理（頻出整理）,運行管理者制度の比較整理（頻出再整理）
comparisons.csv,numbers.csv,similar,0.889,s34-kon-unkan-kanri-cmp,s34-kon-unkan-kanri-num,運行管理者制度の比較整理（頻出整理）,運行管理者制度の数値整理（頻出整理）
comparisons.csv,comparisons.csv,similar,0.968,s34-kon-tenko-gimu-cmp,s42-kon-tenko-gimu-cmp,点呼義務の比較整理（頻出整理）,点呼義務の比較整理（頻出再整理）
comparisons.csv,comparisons.csv,similar,0.882,s34-kon-shuki-unten-cmp,s35-kon-shuki-unten-cmp,酒気帯び運転の比較整理（頻出整理）,酒気帯び運転の比較整理（基礎整理）
comparisons.csv,comparisons.csv,similar,0.882,s34-kon-shuki-unten-cmp,s37-kon-shuki-unten-cmp,酒気帯び運転の比較整理（頻出整理）,酒気帯び運転の比較整理（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s34-kon-shuki-unten-cmp,s40-kon-shuki-unten-cmp,酒気帯び運転の比較整理（頻出整理）,酒気帯び運転の比較整理（深化整理）
comparisons.csv,comparisons.csv,similar,0.971,s34-kon-shuki-unten-cmp,s42-kon-shuki-unten-cmp,酒気帯び運転の比較整理（頻出整理）,酒気帯び運転の比較整理（頻出再整理）
comparisons.csv,numbers.csv,similar,0.882,s34-kon-shuki-unten-cmp,s34-kon-shuki-unten-num,酒気帯び運転の比較整理（頻出整理）,酒気帯び運転の数値整理（頻出整理）
comparisons.csv,comparisons.csv,similar,0.968,s34-kon-sokudo-kisei-cmp,s42-kon-sokudo-kisei-cmp,速度規制の比較整理（頻出整理）,速度規制の比較整理（頻出再整理）
comparisons.csv,comparisons.csv,similar,0.900,s34-kon-ippan-tokutei-cmp,s35-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（頻出整理）,一般貨物と特定貨物の比較整理（基礎整理）
comparisons.csv,comparisons.csv,similar,0.900,s34-kon-ippan-tokutei-cmp,s37-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（頻出整理）,一般貨物と特定貨物の比較整理（試験頻出）
comparisons.csv,comparisons.csv,similar,0.900,s34-kon-ippan-tokutei-cmp,s40-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（頻出整理）,一般貨物と特定貨物の比較整理（深化整理）
comparisons.csv,comparisons.csv,similar,0.976,s34-kon-ippan-tokutei-cmp,s42-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（頻出整理）,一般貨物と特定貨物の比較整理（頻出再整理）
comparisons.csv,numbers.csv,similar,0.900,s34-kon-ippan-tokutei-cmp,s34-kon-ippan-tokutei-num,一般貨物と特定貨物の比較整理（頻出整理）,一般貨物と特定貨物の数値整理（頻出整理）
comparisons.csv,comparisons.csv,similar,0.968,s34-kon-unko-kiroku-cmp,s42-kon-unko-kiroku-cmp,運行記録の比較整理（頻出整理）,運行記録の比較整理（頻出再整理）
comparisons.csv,comparisons.csv,similar,0.968,s34-kon-kyukei-kikan-cmp,s42-kon-kyukei-kikan-cmp,休息時間の比較整理（頻出整理）,休息時間の比較整理（頻出再整理）
comparisons.csv,comparisons.csv,similar,0.970,s34-kon-seibi-kanri-cmp,s42-kon-seibi-kanri-cmp,整備と運行の比較整理（頻出整理）,整備と運行の比較整理（頻出再整理）
comparisons.csv,comparisons.csv,similar,0.970,s34-kon-jigyoyo-kisei-cmp,s42-kon-jigyoyo-kisei-cmp,事業用規制の比較整理（頻出整理）,事業用規制の比較整理（頻出再整理）
comparisons.csv,comparisons.csv,similar,0.970,s34-kon-sennin-todoke-cmp,s42-kon-sennin-todoke-cmp,選任と届出の比較整理（頻出整理）,選任と届出の比較整理（頻出再整理）
comparisons.csv,comparisons.csv,similar,0.889,s35-kon-unkan-kanri-cmp,s40-kon-unkan-kanri-cmp,運行管理者制度の比較整理（基礎整理）,運行管理者制度の比較整理（深化整理）
comparisons.csv,numbers.csv,similar,0.889,s35-kon-unkan-kanri-cmp,s35-kon-unkan-kanri-num,運行管理者制度の比較整理（基礎整理）,運行管理者制度の数値整理（基礎整理）
comparisons.csv,comparisons.csv,similar,0.882,s35-kon-shuki-unten-cmp,s40-kon-shuki-unten-cmp,酒気帯び運転の比較整理（基礎整理）,酒気帯び運転の比較整理（深化整理）
comparisons.csv,numbers.csv,similar,0.882,s35-kon-shuki-unten-cmp,s35-kon-shuki-unten-num,酒気帯び運転の比較整理（基礎整理）,酒気帯び運転の数値整理（基礎整理）
comparisons.csv,comparisons.csv,similar,0.900,s35-kon-ippan-tokutei-cmp,s40-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（基礎整理）,一般貨物と特定貨物の比較整理（深化整理）
comparisons.csv,numbers.csv,similar,0.900,s35-kon-ippan-tokutei-cmp,s35-kon-ippan-tokutei-num,一般貨物と特定貨物の比較整理（基礎整理）,一般貨物と特定貨物の数値整理（基礎整理）
comparisons.csv,numbers.csv,similar,0.889,s36-kon-unkan-kanri-cmp,s36-kon-unkan-kanri-num,運行管理者制度の比較整理（実務連動）,運行管理者制度の数値整理（実務連動）
comparisons.csv,numbers.csv,similar,0.882,s36-kon-shuki-unten-cmp,s36-kon-shuki-unten-num,酒気帯び運転の比較整理（実務連動）,酒気帯び運転の数値整理（実務連動）
comparisons.csv,numbers.csv,similar,0.900,s36-kon-ippan-tokutei-cmp,s36-kon-ippan-tokutei-num,一般貨物と特定貨物の比較整理（実務連動）,一般貨物と特定貨物の数値整理（実務連動）
comparisons.csv,numbers.csv,similar,0.889,s37-kon-unkan-kanri-cmp,s37-kon-unkan-kanri-num,運行管理者制度の比較整理（試験頻出）,運行管理者制度の数値整理（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s37-kon-shuki-unten-cmp,s37-kon-shuki-unten-num,酒気帯び運転の比較整理（試験頻出）,酒気帯び運転の数値整理（試験頻出）
comparisons.csv,numbers.csv,similar,0.900,s37-kon-ippan-tokutei-cmp,s37-kon-ippan-tokutei-num,一般貨物と特定貨物の比較整理（試験頻出）,一般貨物と特定貨物の数値整理（試験頻出）
comparisons.csv,numbers.csv,similar,0.900,s38-kon-unkan-kanri-cmp,s38-kon-unkan-kanri-num,運行管理者制度の比較整理（判例・ガイド）,運行管理者制度の数値整理（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s38-kon-tenko-gimu-cmp,s38-kon-tenko-gimu-num,点呼義務の比較整理（判例・ガイド）,点呼義務の数値整理（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.895,s38-kon-shuki-unten-cmp,s38-kon-shuki-unten-num,酒気帯び運転の比較整理（判例・ガイド）,酒気帯び運転の数値整理（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s38-kon-sokudo-kisei-cmp,s38-kon-sokudo-kisei-num,速度規制の比較整理（判例・ガイド）,速度規制の数値整理（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.884,s38-kon-ippan-tokutei-cmp,s43-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（判例・ガイド）,一般貨物と特定貨物の比較整理（ガイド更新）
comparisons.csv,numbers.csv,similar,0.909,s38-kon-ippan-tokutei-cmp,s38-kon-ippan-tokutei-num,一般貨物と特定貨物の比較整理（判例・ガイド）,一般貨物と特定貨物の数値整理（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s38-kon-unko-kiroku-cmp,s38-kon-unko-kiroku-num,運行記録の比較整理（判例・ガイド）,運行記録の数値整理（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s38-kon-kyukei-kikan-cmp,s38-kon-kyukei-kikan-num,休息時間の比較整理（判例・ガイド）,休息時間の数値整理（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s38-kon-seibi-kanri-cmp,s38-kon-seibi-kanri-num,整備と運行の比較整理（判例・ガイド）,整備と運行の数値整理（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s38-kon-jigyoyo-kisei-cmp,s38-kon-jigyoyo-kisei-num,事業用規制の比較整理（判例・ガイド）,事業用規制の数値整理（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s38-kon-sennin-todoke-cmp,s38-kon-sennin-todoke-num,選任と届出の比較整理（判例・ガイド）,選任と届出の数値整理（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.889,s39-kon-unkan-kanri-cmp,s44-kon-unkan-kanri-cmp,運行管理者制度の比較整理（横断総合）,運行管理者制度の比較整理（直前総合）
comparisons.csv,numbers.csv,similar,0.889,s39-kon-unkan-kanri-cmp,s39-kon-unkan-kanri-num,運行管理者制度の比較整理（横断総合）,運行管理者制度の数値整理（横断総合）
comparisons.csv,comparisons.csv,similar,0.882,s39-kon-shuki-unten-cmp,s44-kon-shuki-unten-cmp,酒気帯び運転の比較整理（横断総合）,酒気帯び運転の比較整理（直前総合）
comparisons.csv,numbers.csv,similar,0.882,s39-kon-shuki-unten-cmp,s39-kon-shuki-unten-num,酒気帯び運転の比較整理（横断総合）,酒気帯び運転の数値整理（横断総合）
comparisons.csv,comparisons.csv,similar,0.900,s39-kon-ippan-tokutei-cmp,s44-kon-ippan-tokutei-cmp,一般貨物と特定貨物の比較整理（横断総合）,一般貨物と特定貨物の比較整理（直前総合）
comparisons.csv,numbers.csv,similar,0.900,s39-kon-ippan-tokutei-cmp,s39-kon-ippan-tokutei-num,一般貨物と特定貨物の比較整理（横断総合）,一般貨物と特定貨物の数値整理（横断総合）
comparisons.csv,numbers.csv,similar,0.889,s40-kon-unkan-kanri-cmp,s40-kon-unkan-kanri-num,運行管理者制度の比較整理（深化整理）,運行管理者制度の数値整理（深化整理）
comparisons.csv,numbers.csv,similar,0.882,s40-kon-shuki-unten-cmp,s40-kon-shuki-unten-num,酒気帯び運転の比較整理（深化整理）,酒気帯び運転の数値整理（深化整理）
comparisons.csv,numbers.csv,similar,0.900,s40-kon-ippan-tokutei-cmp,s40-kon-ippan-tokutei-num,一般貨物と特定貨物の比較整理（深化整理）,一般貨物と特定貨物の数値整理（深化整理）
